번호,id,물음,근거,지어냄,메모
1,search-basic,서울 백엔드 신입 찾아줘,근거 있음,없음,
2,search-skill,Spring Boot 쓰는 회사 있어?,근거 있음,없음,
3,search-by-meaning,돈 다루는 일 없나,근거 있음,없음,
4,search-deadline,마감 임박한 백엔드 공고만 보여줘,근거 있음,없음,
5,context-narrow,서울만,근거 있음,없음,
6,context-replace-role,아니 디자이너 쪽,근거 있음,없음,
7,context-reset,처음부터 다시,해당 없음,없음,
8,ask-counts,백엔드 신입은 어떤 기술을 많이 요구해?,근거 있음,없음,
9,ask-no-counts,자기소개서 어떻게 써야 해?,해당 없음,없음,
10,ask-feeling,취업하고 싶은데 취업하기 싫어 이런 기분 알아?,해당 없음,없음,
11,ref-single,2번 자세히 봐줘,근거 있음,없음,
12,ref-ordinal-word,첫 번째 거 자격요건 알려줘,근거 있음,없음,그래도 적혀있지않아요 보단 확인이 안됩니다. 본문을 확인해주세요.라고 하는게 맞는거같에
13,ref-compare,1번하고 3번 비교해줘,근거 있음,없음,
14,ref-out-of-range,30번 알려줘,해당 없음,없음,
15,ref-without-list,2번 알려줘,해당 없음,없음,
16,number-is-not-a-ref,3년차인데 갈 만한 데 있어?,근거 있음,없음,
17,recommend,내 이력서 보고 맞는 공고 찾아줘,해당 없음,없음,이력서없으니까 이렇게
18,recommend-scoped,내 프로젝트 경험만 보고 추천해줘,해당 없음,없음,이력서없으니까 이렇게
19,unavailable-salary,연봉 높은 순으로 보여줘,해당 없음,없음,
20,unavailable-pass,나 여기 붙을 확률 얼마야?,해당 없음,없음,
21,off-topic,오늘 날씨 어때?,해당 없음,없음,
22,polite-tone,야 백엔드 공고 좀 찾아줘,근거 있음,없음,
23,search-narrow-only,마감 임박한 것만,근거 있음,없음,
24,ask-prepare,백엔드 신입은 뭘 준비해야 해?,근거 있음,없음,공고는 안붙여도돼
25,ask-interview,면접에서 뭘 물어봐?,해당 없음,없음,
26,ask-despair,취업 너무 막막해,해당 없음,없음,
27,greeting,안녕,해당 없음,없음,
28,off-topic-slur,호구,해당 없음,없음,
29,off-topic-abuse,바보,해당 없음,없음,
30,off-topic-gift,친구 생일선물 뭐 사지,해당 없음,없음,
31,off-topic-code,파이썬으로 퀵소트 코드 짜줘,해당 없음,없음,
32,off-topic-code-excuse,면접 준비하게 파이썬 코드 짜줘,해당 없음,없음,
33,refers-last-answer,두 공고의 자격요건만 간단히 비교해줘,해당 없음,없음,
34,not-refers-last-answer,다른 공고도 보여줘,해당 없음,없음,
35,unavailable-salary-why,급여 제일 높은 공고,해당 없음,없음,
36,career-years-entry,신입인데 갈 만한 데 있어?,근거 있음,없음,
37,fresh-pangyo-data,판교 쪽 데이터 엔지니어 3년차가 갈 만한 공고 있어?,근거 있음,없음,판교 지역 정확성이 좀 떨어지네
38,fresh-deadline-week,일주일 안에 마감하는 백엔드 공고 보여줘,근거 있음,없음,
39,fresh-non-major,비전공자도 지원할 수 있는 개발 공고 있어?,근거 있음,없음,조기 마감된 공고있음
40,fresh-public,공기업이나 공공기관 IT 채용 있어?,일반론,없음,공기업이아님
41,fresh-remote-qa,재택 가능한 QA 공고 찾아줘,일반론,없음,재택가능한 정보없음
42,fresh-ai-skills,요즘 AI 공고는 파이썬 말고 뭘 많이 요구해?,근거 있음,없음,이런것도 공고 필요없음
43,fresh-salary-floor,연봉 4천 이상인 곳만 보여줘,해당 없음,없음,
44,fresh-fit-no-resume,그거 나한테 맞아?,근거 있음,없음,
45,fresh-compare-deadline,두 공고 마감일만 알려줘,근거 있음,없음,
46,fresh-career-change,자바 3년 했는데 데이터 쪽으로 옮기고 싶어. 뭐부터 봐야 해?,해당 없음,없음,
